Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Aug,omniv_zooplankton,1.10498655,0.57444152,2.192469337,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Sep,omniv_zooplankton,0.792794817,0.469451253,1.431682199,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Oct,omniv_zooplankton,0.501528198,0.241813038,1.025082064,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Nov,omniv_zooplankton,0.191643274,0.056152381,0.404660254,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Dec,omniv_zooplankton,0.106165322,0.026732617,0.260282157,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jan,carniv_zooplankton,0.044767321,0.013874433,0.096978864,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Feb,carniv_zooplankton,0.044869774,0.017638293,0.119787478,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Mar,carniv_zooplankton,0.041956721,0.013602291,0.110891361,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Apr,carniv_zooplankton,0.046160377,0.014384619,0.120695535,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
May,carniv_zooplankton,0.071674882,0.011706435,0.13889229,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jun,carniv_zooplankton,0.085717484,0.018772825,0.279064372,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jul,carniv_zooplankton,0.084871327,0.020734386,0.386633546,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Aug,carniv_zooplankton,0.08584228,0.035895025,0.215643763,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Sep,carniv_zooplankton,0.152266563,0.066805628,0.313532401,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Oct,carniv_zooplankton,0.099197621,0.051704297,0.183417534,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Nov,carniv_zooplankton,0.088559737,0.048695298,0.195747036,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Dec,carniv_zooplankton,0.0507572,0.02171503,0.110976144,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jan,larvae_susp_dep_benthos,6.81E-05,2.70E-05,0.000171393,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Feb,larvae_susp_dep_benthos,0.001064365,0.000280868,0.002234608,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Mar,larvae_susp_dep_benthos,0.011063286,0.003616049,0.026103996,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Apr,larvae_susp_dep_benthos,0.13716105,0.052807805,0.27039662,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
May,larvae_susp_dep_benthos,0.653660046,0.326221327,1.132860367,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jun,larvae_susp_dep_benthos,1.18546194,0.528898748,2.055312161,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jul,larvae_susp_dep_benthos,0.56580303,0.294140008,1.122643343,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Aug,larvae_susp_dep_benthos,0.19979778,0.118309702,0.360808268,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Sep,larvae_susp_dep_benthos,0.022107189,0.010659035,0.045185262,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Oct,larvae_susp_dep_benthos,0.001120985,0.000328454,0.002366992,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Nov,larvae_susp_dep_benthos,0.000181728,4.58E-05,0.000445537,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Dec,larvae_susp_dep_benthos,4.63E-05,7.33E-06,0.000109437,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jan,larvae_carn_scav_benthos,1.92E-05,7.61E-06,4.83E-05,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Feb,larvae_carn_scav_benthos,0.000300205,7.92E-05,0.000630273,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Mar,larvae_carn_scav_benthos,0.003120414,0.001019911,0.007362665,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Apr,larvae_carn_scav_benthos,0.03868645,0.014894509,0.076265713,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
May,larvae_carn_scav_benthos,0.184365654,0.092011144,0.319524719,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jun,larvae_carn_scav_benthos,0.33436106,0.14917657,0.57970343,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Jul,larvae_carn_scav_benthos,0.15958547,0.082962566,0.316642994,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Aug,larvae_carn_scav_benthos,0.05635322,0.033369403,0.101766435,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Sep,larvae_carn_scav_benthos,0.006235361,0.003006394,0.012744561,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Oct,larvae_carn_scav_benthos,0.000316175,9.26E-05,0.000667613,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Nov,larvae_carn_scav_benthos,5.13E-05,1.29E-05,0.000125664,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
Dec,larvae_carn_scav_benthos,1.30E-05,2.07E-06,3.09E-05,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_1970_1999_with_Broekhuizen_depth_correction_conv_nitrogen_units
